City,State,2018_Population_Estimate,2010_Population_Census,Percentage_of_Population_Change,Land_Area(sq mi),Water_Area(sq mi),Elevation(ft),City_WebSite
New York City, New York,8398748,8175133,+2.74,302.64,165.84,33.0,https://www.nyc.gov/
Los Angeles, California,3990456,3792621,+5.22,468.74,34.02,305.0,https://www.lacity.org/
Chicago, Illinois,2705994,2695598,+0.39,227.34,6.8,594.0,http://www.cityofchicago.org
Phoenix, Arizona,1660272,1445632,+14.85,517.64,1.25,1086.0,http://www.phoenix.gov
Philadelphia, Pennsylvania,1584138,1526006,+3.81,134.28,8.42,39.0,http://www.phila.gov/
San Antonio, Texas,1532233,1327407,+15.43,460.93,4.5,650.0,http://www.sanantonio.gov/
San Diego, California,1425976,1307402,+9.07,325.19,47.2,62.0,http://www.sandiego.gov/
Dallas, Texas,1345047,1197816,+12.29,340.5,45.3,430.0,http://www.dallascityhall.com/
San Jose, California,1030119,945942,+8.90,177.51,3.01,82.0,http://www.sanjoseca.gov/
Austin, Texas,964254,790390,+22.00,297.9,7.2,289.0,http://www.austintexas.gov
Jacksonville, Florida,903889,821784,+9.99,747.45,127.19,16.0,http://www.coj.net
Fort Worth, Texas,895008,741206,+20.75,342.2,7.0,653.0,http://www.fortworthtexas.gov/
Columbus, Ohio,892533,787033,+13.40,217.17,5.94,902.0,http://www.columbus.gov/
San Francisco, California,883305,805235,+9.70,46.89,185.0,52.0,http://sf.gov/
Indianapolis, Indiana,867125,820445,+5.69,361.51,6.52,715.0,http://www.indy.gov
Denver, Colorado,716492,600158,+19.38,153.33,1.63,5130.0,http://www.denvergov.org/
Boston, Massachusetts,694583,617594,+12.47,48.42,41.21,141.0,https://www.boston.gov/
El Paso, Texas,682669,649121,+5.17,255.3,1.0,3740.0,http://www.elpasotexas.gov
Detroit, Michigan,672662,713777,−5.76,138.72,4.17,656.0,http://www.detroitmi.gov/
Nashville, Tennessee,669053,601222,+11.28,504.03,21.91,597.0,http://www.nashville.gov/
Portland, Oregon,653115,583776,+11.88,133.0,12.0,50.0,http://www.PortlandOregon.gov/
Memphis, Tennessee,650618,646889,+0.58,315.1,9.0,337.0,http://www.memphistn.gov
Oklahoma City, Oklahoma,649021,579999,+11.90,601.11,19.23,1201.0,http://www.okc.gov/
Las Vegas, Nevada,644644,583756,+10.43,135.8,0.05,2001.0,http://lasvegasnevada.gov
Louisville, Kentucky,620118,597337,+3.81,380.46,17.23,466.0,http://louisvilleky.gov/
Baltimore, Maryland,602495,620961,−2.97,80.95,11.1,0.0,http://www.baltimorecity.gov/
Milwaukee, Wisconsin,592025,594833,−0.47,96.19,0.63,617.0,http://city.milwaukee.gov
Albuquerque, New Mexico,560218,545852,+2.63,187.7,1.8,5312.0,http://www.cabq.gov/
Tucson, Arizona,545975,520116,+4.97,236.19,0.32,2389.0,http://www.tucsonaz.gov
Fresno, California,530093,494665,+7.16,114.42,0.28,308.0,http://www.fresno.gov
Mesa, Arizona,508958,439041,+15.92,137.88,0.75,1240.0,http://www.mesaaz.gov
Sacramento, California,508529,466488,+9.01,97.92,2.18,30.0,http://cityofsacramento.org
Atlanta, Georgia,498044,420003,+18.58,133.2,0.8,738.0,http://atlantaga.gov
Kansas City, Missouri,491918,459787,+6.99,314.95,4.08,910.0,http://www.kcmo.gov/
Colorado Springs, Colorado,472688,416427,+13.51,194.74,0.37,6035.0,http://coloradosprings.gov
Miami, Florida,470914,399457,+17.89,35.99,20.08,6.0,http://miamigov.com
Raleigh, North Carolina,469298,403892,+16.19,142.8,2.0,315.0,http://raleighnc.gov
Omaha, Nebraska,468262,408958,+14.50,138.21,3.6,1090.0,http://www.cityofomaha.org
Long Beach, California,467354,462257,+1.10,50.32,1.16,52.0,http://www.longbeach.gov
Virginia Beach, Virginia,450189,437994,+2.78,244.72,252.78,10.0,http://www.vbgov.com/
Oakland, California,429082,390724,+9.82,55.89,21.97,43.0,https://www.oaklandca.gov
Minneapolis, Minnesota,425403,382578,+11.19,54.0,3.49,830.0,http://www.minneapolismn.gov
Tulsa, Oklahoma,400669,391906,+2.24,192.7,4.2,722.0,http://www.cityoftulsa.org/
Arlington, Texas,398112,365438,+8.94,96.5,3.2,604.0,http://www.ArlingtonTX.gov
Tampa, Florida,392890,335709,+17.03,113.42,61.8,48.0,http://www.tampagov.net
New Orleans, Louisiana,391006,343829,+13.72,169.42,180.43,6.5,http://www.nola.gov
Wichita, Kansas,389255,382368,+1.80,159.29,4.3,1302.0,http://www.wichita.gov/
Cleveland, Ohio,383793,396815,−3.28,77.7,4.77,653.0,http://www.cleveland-oh.gov
Bakersfield, California,383579,347483,+10.39,149.73,1.47,404.0,http://www.bakersfieldcity.us/
Aurora, Colorado,374114,325078,+15.08,153.52,0.67,5403.0,http://auroragov.org
Anaheim, California,352005,336265,+4.68,50.32,0.6,157.0,http://www.anaheim.net
Honolulu, Hawaii,347397,337256,+3.01,60.5,7.9,19.0,http://www.honolulu.gov/
Santa Ana, California,332725,324528,+2.53,27.15,0.25,115.0,http://www.santa-ana.org
Riverside, California,330063,303871,+8.62,81.23,0.31,827.0,http://riversideca.gov
Corpus Christi, Texas,326554,305215,+6.99,174.6,329.0,7.0,http://www.cctexas.com
Lexington, Kentucky,323780,295803,+9.46,284.5,1.0,978.0,http://www.lexingtonky.gov
Stockton, California,311178,291707,+6.67,61.67,3.08,13.0,http://www.stocktongov.com
Henderson, Nevada,310390,257729,+20.43,107.7,0.0,1864.0,http://www.cityofhenderson.com
Saint Paul, Minnesota,307695,285068,+7.94,51.97,4.2,795.0,http://www.stpaul.gov/
St. Louis, Missouri,302838,319294,−5.15,61.9,4.1,466.0,http://stlouis-mo.gov
Cincinnati, Ohio,302605,296943,+1.91,77.94,1.6,482.31,http://cincinnati-oh.gov
Greensboro, North Carolina,294722,269666,+9.29,126.5,5.3,897.0,http://www.greensboro-nc.gov
Anchorage, Alaska,291538,291826,−0.10,1706.61,256.0,102.0,http://www.muni.org/
Plano, Texas,288061,259841,+10.86,71.6,0.1,666.0,https://www.plano.gov
Lincoln, Nebraska,287401,258379,+11.23,92.91,1.35,1176.0,http://www.lincoln.ne.gov/
Orlando, Florida,285713,238300,+19.90,105.22,8.53,82.03,http://www.cityoforlando.net
Irvine, California,282572,212375,+33.05,65.58,0.34,56.0,http://cityofirvine.org
Newark, New Jersey,282090,277140,+1.79,24.19,1.92,13.0,http://newarknj.gov/
Toledo, Ohio,274975,287208,−4.26,80.69,3.43,614.0,http://www.toledo.oh.gov
Durham, North Carolina,274291,228330,+20.13,107.4,0.9,404.0,http://durhamnc.gov/
Chula Vista, California,271651,243916,+11.37,49.63,2.46,66.0,http://www.chulavistaca.gov
Fort Wayne, Indiana,267633,253691,+5.50,110.63,0.21,810.0,http://www.cityoffortwayne.org
Jersey City, New Jersey,265549,247597,+7.25,14.79,6.29,20.0,http://www.jerseycitynj.gov
St. Petersburg, Florida,265098,244769,+8.31,61.75,75.89,44.0,https://www.stpete.org/
Laredo, Texas,261639,236091,+10.82,101.1,1.5,438.0,http://www.laredotexas.gov/
Madison, Wisconsin,258054,233209,+10.65,78.95,21.96,873.0,http://cityofmadison.com
Chandler, Arizona,257165,236123,+8.91,64.94,0.1,1214.0,http://www.chandleraz.gov
Buffalo, New York,256304,261310,−1.92,40.6,11.9,600.0,http://www.city-buffalo.com/
Lubbock, Texas,255885,229573,+11.46,122.41,1.14,3202.0,http://www.ci.lubbock.tx.us
Scottsdale, Arizona,255310,217385,+17.45,183.94,0.47,1257.0,http://www.scottsdaleaz.gov
Reno, Nevada,250998,225221,+11.45,103.0,2.9,4505.6,http://reno.gov
Glendale, Arizona,250702,226721,+10.58,59.36,0.39,1152.0,http://www.glendaleaz.com
Gilbert, Arizona,248279,208453,+19.11,68.0,0.2,1237.0,http://www.gilbertaz.gov
Winston–Salem, North Carolina,246328,229617,+7.28,132.4,1.2,970.0,http://www.cityofws.org
North Las Vegas, Nevada,245949,216961,+13.36,101.4,0.04,2205.0,http://www.CityOfNorthLasVegas.com
Norfolk, Virginia,244076,242803,+0.52,53.28,43.13,7.0,http://www.norfolk.gov/
Garland, Texas,242507,226876,+6.89,57.1,0.0,551.0,http://www.garlandtx.gov
Irving, Texas,242242,216290,+12.00,67.9,0.4,482.0,http://www.cityofirving.org/
Hialeah, Florida,238942,224669,+6.35,21.48,1.34,7.0,http://www.hialeahfl.gov
Fremont, California,237807,214089,+11.08,77.47,10.15,56.0,http://www.fremont.gov
Boise, Idaho,228790,205671,+11.24,82.09,0.71,2730.0,http://www.cityofboise.org
Richmond, Virginia,228783,204214,+12.03,59.91,2.66,166.45,http://www.ci.richmond.va.us/
Baton Rouge, Louisiana,221599,229493,−3.44,85.93,2.19,56.0,http://www.brgov.com
Spokane, Washington,219190,208916,+4.92,68.77,0.74,1843.0,http://www.spokanecity.org
Des Moines, Iowa,216853,203433,+6.60,88.92,1.73,955.0,http://www.dmgov.org/
Tacoma, Washington,216279,198397,+9.01,49.72,12.7,243.0,http://www.cityoftacoma.org/
San Bernardino, California,215941,209924,+2.87,61.52,0.43,1053.0,http://sbcity.org
Modesto, California,215030,201165,+6.89,42.97,1.84,89.0,http://www.modestogov.com
Fontana, California,213739,196069,+9.01,43.02,0.0,1237.0,http://fontana.org
Santa Clarita, California,210089,176320,+19.15,52.76,0.05,1207.0,http://www.santa-clarita.com
Birmingham, Alabama,209880,212237,−1.11,146.02,2.55,644.0,http://www.birminghamal.gov/
Oxnard, California,209877,197899,+6.05,26.9,12.31,52.0,https://www.oxnard.org
Fayetteville, North Carolina,209468,200564,+4.44,145.9,1.9,263.0,http://www.ci.fayetteville.nc.us
Moreno Valley, California,209050,193365,+8.11,51.27,0.2,1631.0,http://www.moreno-valley.ca.us
Rochester, New York,206284,210565,−2.03,35.78,1.36,505.0,https://www.cityofrochester.gov
Glendale, California,201361,191719,+5.03,30.43,0.13,522.0,http://glendaleca.gov
Huntington Beach, California,200641,189992,+5.60,26.94,5.19,39.0,http://huntingtonbeachca.gov
Salt Lake City, Utah,200591,186440,+7.59,109.1,1.3,4226.0,http://www.slcgov.com
Grand Rapids, Michigan,200217,188040,+6.48,44.43,0.88,640.0,http://www.grcity.us/
Amarillo, Texas,199924,190695,+4.84,89.8,0.5,3605.0,http://www.amarillo.gov
Yonkers, New York,199663,195976,+1.88,18.01,2.28,82.0,http://www.yonkersny.gov/
Aurora, Illinois,199602,197899,+0.86,44.89,0.88,718.0,http://www.aurora-il.org
Montgomery, Alabama,198218,205764,−3.67,159.79,2.39,240.0,http://montgomeryal.gov
Akron, Ohio,198006,199110,−0.55,62.03,0.34,1004.0,http://akronohio.gov
Little Rock, Arkansas,197881,193524,+2.25,119.22,2.8,335.0,http://www.littlerock.gov
Huntsville, Alabama,197318,180105,+9.56,213.36,1.34,600.0,https://www.huntsvilleal.gov/
Augusta, Georgia,196939,195844,+0.56,302.1,4.3,136.0,http://www.augustaga.gov
Port St. Lucie, Florida,195248,164603,+18.62,118.89,1.62,16.0,https://www.cityofpsl.com/
Grand Prairie, Texas,194614,175396,+10.96,72.11,8.99,515.0,https://www.gptx.org
Columbus, Georgia,194160,189885,+2.25,216.1,4.7,243.0,http://www.columbusga.gov/
Tallahassee, Florida,193551,181376,+6.71,100.42,3.21,203.0,http://www.talgov.com
Overland Park, Kansas,192536,173372,+11.05,74.84,0.53,1086.0,http://www.opkansas.org
Tempe, Arizona,192364,161719,+18.95,39.97,0.26,1140.0,http://www.tempe.gov
McKinney, Texas,191645,131117,+46.16,62.2,0.7,630.0,http://www.mckinneytexas.org
Mobile, Alabama,189572,195111,−2.84,139.4,40.66,10.0,http://www.cityofmobile.org/
Cape Coral, Florida,189343,154305,+22.71,105.77,13.42,5.0,http://www.capecoral.net
Shreveport, Louisiana,188987,199311,−5.18,107.14,15.21,154.0,http://www.shreveportla.gov
Frisco, Texas,188170,116989,+60.84,61.8,0.6,774.0,http://www.friscotexas.gov
Knoxville, Tennessee,187500,178874,+4.82,98.5,5.6,886.0,http://www.knoxvilletn.gov
Worcester, Massachusetts,185877,181045,+2.67,37.6,1.0,480.0,http://www.worcesterma.gov
Brownsville, Texas,183392,175023,+4.78,81.53,3.34,33.0,http://www.cob.us
Vancouver, Washington,183012,161791,+13.12,48.69,3.7,171.0,http://www.cityofvancouver.us/
Fort Lauderdale, Florida,182595,165521,+10.32,34.62,1.69,9.0,http://www.fortlauderdale.gov
Sioux Falls, South Dakota,181883,153888,+18.19,72.96,0.51,1470.0,http://www.SiouxFalls.org
Ontario, California,181107,163924,+10.48,49.93,0.06,1004.0,http://www.ontarioca.gov/
Chattanooga, Tennessee,180557,167674,+7.68,137.1,7.4,676.0,http://www.chattanooga.gov/
Providence, Rhode Island,179335,178042,+0.73,18.53,2.32,75.46,http://www.providenceri.com
Newport News, Virginia,178626,180719,−1.16,69.12,50.55,15.0,http://www.nnva.gov
Rancho Cucamonga, California,177751,165269,+7.55,39.99,0.01,1207.0,http://www.cityofrc.us
Santa Rosa, California,177586,167815,+5.82,41.29,0.2,164.0,http://ci.santa-rosa.ca.us
Oceanside, California,176080,167086,+5.38,41.25,0.92,66.0,http://www.ci.oceanside.ca.us
Salem, Oregon,173442,154637,+12.16,47.9,0.55,154.0,http://cityofsalem.net
Elk Grove, California,172886,153015,+12.99,42.2,0.05,46.0,http://elkgrovecity.org
Garden Grove, California,172646,170883,+1.03,17.96,0.02,89.0,http://www.ggcity.org
Pembroke Pines, Florida,172374,154019,+11.92,33.03,1.94,7.0,http://www.ppines.com/
Peoria, Arizona,172259,154065,+11.81,175.68,3.42,1142.0,http://www.peoriaaz.gov/
Eugene, Oregon,171245,156185,+9.64,43.72,0.02,430.0,http://www.eugene-or.gov/
Corona, California,168819,152374,+10.79,39.47,0.08,679.0,http://www.discovercorona.com/
Cary, North Carolina,168160,135234,+24.35,58.33,1.09,495.0,https://www.townofcary.org
Springfield, Missouri,168122,159498,+5.41,81.72,0.59,1299.0,http://www.springfieldmo.gov/
Fort Collins, Colorado,167830,143986,+16.56,55.82,1.23,5003.0,http://fcgov.com
Jackson, Mississippi,164422,173514,−5.24,111.07,2.17,279.0,http://www.jacksonms.gov
